Date,Close
7/5/2002 16:00:00,15
7/12/2002 16:00:00,15
7/19/2002 16:00:00,10.5
7/25/2002 16:00:00,10.15
8/1/2002 16:00:00,11.8
8/9/2002 16:00:00,12.15
8/16/2002 16:00:00,12.15
8/23/2002 16:00:00,11.1
8/30/2002 16:00:00,10
9/6/2002 16:00:00,9.7
9/13/2002 16:00:00,9.94
9/20/2002 16:00:00,9.4
9/27/2002 16:00:00,9.49
10/4/2002 16:00:00,9.55
10/11/2002 16:00:00,9
10/18/2002 16:00:00,8.25
10/25/2002 16:00:00,7.2
11/1/2002 16:00:00,7.5
11/7/2002 16:00:00,7.5
11/15/2002 16:00:00,8.4
11/22/2002 16:00:00,8.4
11/29/2002 16:00:00,10
12/6/2002 16:00:00,10.7
12/13/2002 16:00:00,11
12/20/2002 16:00:00,10.5
12/26/2002 16:00:00,10.5
1/3/2003 16:00:00,10.25
1/10/2003 16:00:00,9.25
1/17/2003 16:00:00,9.5
1/24/2003 16:00:00,9.2
1/31/2003 16:00:00,9.1
2/7/2003 16:00:00,9.19
2/14/2003 16:00:00,8
2/21/2003 16:00:00,7.95
2/28/2003 16:00:00,7.75
3/7/2003 16:00:00,7.72
3/14/2003 16:00:00,7
3/21/2003 16:00:00,7
3/28/2003 16:00:00,6.95
4/4/2003 16:00:00,6
4/11/2003 16:00:00,5.32
4/17/2003 16:00:00,5.25
4/25/2003 16:00:00,5.9
5/2/2003 16:00:00,6.45
5/9/2003 16:00:00,6.25
5/16/2003 16:00:00,6.3
5/23/2003 16:00:00,5.86
5/30/2003 16:00:00,6.2
6/6/2003 16:00:00,6.39
6/13/2003 16:00:00,6.4
6/20/2003 16:00:00,7.15
6/27/2003 16:00:00,8.25
7/3/2003 16:00:00,8.25
7/11/2003 16:00:00,9.16
7/18/2003 16:00:00,8.9
7/25/2003 16:00:00,8.45
8/1/2003 16:00:00,8.5
8/8/2003 16:00:00,7
8/15/2003 16:00:00,7.45
8/22/2003 16:00:00,7.3
8/29/2003 16:00:00,7.25
9/5/2003 16:00:00,7.65
9/12/2003 16:00:00,7.75
9/19/2003 16:00:00,8.15
9/26/2003 16:00:00,8.25
10/3/2003 16:00:00,8.07
10/10/2003 16:00:00,8.12
10/17/2003 16:00:00,8.88
10/24/2003 16:00:00,8.82
10/31/2003 16:00:00,8.8
11/7/2003 16:00:00,9.15
11/14/2003 16:00:00,9.25
11/21/2003 16:00:00,9
11/28/2003 16:00:00,8.9
12/5/2003 16:00:00,9
12/11/2003 16:00:00,8.6
12/19/2003 16:00:00,8.9
12/26/2003 16:00:00,9.21
1/2/2004 16:00:00,9.25
1/9/2004 16:00:00,10.33
1/16/2004 16:00:00,10.8
1/23/2004 16:00:00,10.4
1/30/2004 16:00:00,8.85
2/6/2004 16:00:00,9.1
2/13/2004 16:00:00,9.15
2/20/2004 16:00:00,9.05
2/27/2004 16:00:00,8.92
3/5/2004 16:00:00,9.15
3/12/2004 16:00:00,9
3/19/2004 16:00:00,8.55
3/26/2004 16:00:00,8.56
4/1/2004 16:00:00,8.56
4/8/2004 16:00:00,8.55
4/16/2004 16:00:00,7.7
4/23/2004 16:00:00,7.89
4/29/2004 16:00:00,7.5
5/7/2004 16:00:00,7.67
5/14/2004 16:00:00,7.25
5/21/2004 16:00:00,7.1
5/28/2004 16:00:00,7.25
6/4/2004 16:00:00,7.3
6/10/2004 16:00:00,7.23
6/18/2004 16:00:00,6.91
6/25/2004 16:00:00,6.61
7/2/2004 16:00:00,6.35
7/9/2004 16:00:00,6.3
7/16/2004 16:00:00,6.41
7/23/2004 16:00:00,6.3
7/30/2004 16:00:00,6.3
8/6/2004 16:00:00,6.26
8/13/2004 16:00:00,5.9
8/20/2004 16:00:00,6.15
8/27/2004 16:00:00,6.08
9/3/2004 16:00:00,6.15
9/10/2004 16:00:00,6.07
9/17/2004 16:00:00,5.53
9/24/2004 16:00:00,5.9
10/1/2004 16:00:00,7.4
10/8/2004 16:00:00,7.65
10/15/2004 16:00:00,7.5
10/22/2004 16:00:00,6.55
10/29/2004 16:00:00,6.8
11/5/2004 16:00:00,6.9
11/12/2004 16:00:00,7.35
11/19/2004 16:00:00,7.65
11/26/2004 16:00:00,7
12/3/2004 16:00:00,6.9
12/10/2004 16:00:00,6.85
12/17/2004 16:00:00,9.1
12/23/2004 16:00:00,9.4
12/31/2004 16:00:00,10.2
1/7/2005 16:00:00,9.12
1/14/2005 16:00:00,8.32
1/21/2005 16:00:00,8.45
1/28/2005 16:00:00,8.65
2/4/2005 16:00:00,9.61
