Date,Close
12/12/1980 16:00:00,0.13
12/19/1980 16:00:00,0.13
12/26/1980 16:00:00,0.16
1/2/1981 16:00:00,0.15
1/9/1981 16:00:00,0.14
1/16/1981 16:00:00,0.14
1/23/1981 16:00:00,0.15
1/30/1981 16:00:00,0.13
2/6/1981 16:00:00,0.13
2/13/1981 16:00:00,0.11
2/20/1981 16:00:00,0.11
2/27/1981 16:00:00,0.12
3/6/1981 16:00:00,0.11
3/13/1981 16:00:00,0.1
3/20/1981 16:00:00,0.11
3/27/1981 16:00:00,0.11
4/3/1981 16:00:00,0.12
4/10/1981 16:00:00,0.12
4/16/1981 16:00:00,0.11
4/24/1981 16:00:00,0.13
5/1/1981 16:00:00,0.13
5/8/1981 16:00:00,0.13
5/15/1981 16:00:00,0.12
5/22/1981 16:00:00,0.14
5/29/1981 16:00:00,0.15
6/5/1981 16:00:00,0.14
6/12/1981 16:00:00,0.15
6/19/1981 16:00:00,0.14
6/26/1981 16:00:00,0.13
7/2/1981 16:00:00,0.11
7/10/1981 16:00:00,0.1
7/17/1981 16:00:00,0.12
7/24/1981 16:00:00,0.11
7/31/1981 16:00:00,0.11
8/7/1981 16:00:00,0.11
8/14/1981 16:00:00,0.1
8/21/1981 16:00:00,0.09
8/28/1981 16:00:00,0.09
9/4/1981 16:00:00,0.09
9/11/1981 16:00:00,0.09
9/18/1981 16:00:00,0.08
9/25/1981 16:00:00,0.06
10/2/1981 16:00:00,0.07
10/9/1981 16:00:00,0.08
10/16/1981 16:00:00,0.08
10/23/1981 16:00:00,0.08
10/30/1981 16:00:00,0.09
11/6/1981 16:00:00,0.08
11/13/1981 16:00:00,0.08
11/20/1981 16:00:00,0.08
11/27/1981 16:00:00,0.08
12/4/1981 16:00:00,0.08
12/11/1981 16:00:00,0.08
12/18/1981 16:00:00,0.1
12/24/1981 16:00:00,0.1
12/31/1981 16:00:00,0.1
1/8/1982 16:00:00,0.09
1/15/1982 16:00:00,0.09
1/22/1982 16:00:00,0.09
1/29/1982 16:00:00,0.09
2/5/1982 16:00:00,0.09
2/12/1982 16:00:00,0.08
2/19/1982 16:00:00,0.08
2/26/1982 16:00:00,0.08
3/5/1982 16:00:00,0.07
3/12/1982 16:00:00,0.07
3/19/1982 16:00:00,0.07
3/26/1982 16:00:00,0.07
4/2/1982 16:00:00,0.08
4/8/1982 16:00:00,0.08
4/16/1982 16:00:00,0.08
4/23/1982 16:00:00,0.07
4/30/1982 16:00:00,0.07
5/7/1982 16:00:00,0.07
5/14/1982 16:00:00,0.07
5/21/1982 16:00:00,0.06
5/28/1982 16:00:00,0.06
6/4/1982 16:00:00,0.06
6/11/1982 16:00:00,0.06
6/18/1982 16:00:00,0.06
6/25/1982 16:00:00,0.06
7/2/1982 16:00:00,0.05
7/9/1982 16:00:00,0.05
7/16/1982 16:00:00,0.06
7/23/1982 16:00:00,0.06
7/30/1982 16:00:00,0.06
8/6/1982 16:00:00,0.05
8/13/1982 16:00:00,0.06
8/20/1982 16:00:00,0.07
8/27/1982 16:00:00,0.08
9/3/1982 16:00:00,0.08
9/10/1982 16:00:00,0.08
9/17/1982 16:00:00,0.08
9/24/1982 16:00:00,0.08
10/1/1982 16:00:00,0.08
10/8/1982 16:00:00,0.1
10/15/1982 16:00:00,0.1
10/22/1982 16:00:00,0.12
10/29/1982 16:00:00,0.11
11/5/1982 16:00:00,0.13
11/12/1982 16:00:00,0.14
11/19/1982 16:00:00,0.14
11/26/1982 16:00:00,0.13
12/3/1982 16:00:00,0.14
12/10/1982 16:00:00,0.13
12/17/1982 16:00:00,0.13
12/23/1982 16:00:00,0.14
12/31/1982 16:00:00,0.13
1/7/1983 16:00:00,0.12
1/14/1983 16:00:00,0.15
1/21/1983 16:00:00,0.17
1/28/1983 16:00:00,0.18
2/4/1983 16:00:00,0.2
2/11/1983 16:00:00,0.21
2/18/1983 16:00:00,0.2
2/25/1983 16:00:00,0.21
3/4/1983 16:00:00,0.2
3/11/1983 16:00:00,0.19
3/18/1983 16:00:00,0.19
3/25/1983 16:00:00,0.19
3/31/1983 16:00:00,0.19
4/8/1983 16:00:00,0.18
4/15/1983 16:00:00,0.2
4/22/1983 16:00:00,0.23
4/29/1983 16:00:00,0.23
5/6/1983 16:00:00,0.25
5/13/1983 16:00:00,0.24
5/20/1983 16:00:00,0.25
5/27/1983 16:00:00,0.27
6/3/1983 16:00:00,0.27
6/10/1983 16:00:00,0.26
6/17/1983 16:00:00,0.25
6/24/1983 16:00:00,0.24
7/1/1983 16:00:00,0.22
7/8/1983 16:00:00,0.21
7/15/1983 16:00:00,0.2
7/22/1983 16:00:00,0.2
7/29/1983 16:00:00,0.16
8/5/1983 16:00:00,0.15
8/12/1983 16:00:00,0.15
8/19/1983 16:00:00,0.15
8/26/1983 16:00:00,0.14
9/2/1983 16:00:00,0.17
9/9/1983 16:00:00,0.14
9/16/1983 16:00:00,0.13
9/23/1983 16:00:00,0.11
9/30/1983 16:00:00,0.1
10/7/1983 16:00:00,0.09
10/14/1983 16:00:00,0.1
10/21/1983 16:00:00,0.09
10/28/1983 16:00:00,0.09
11/4/1983 16:00:00,0.09
11/11/1983 16:00:00,0.09
11/18/1983 16:00:00,0.09
11/25/1983 16:00:00,0.09
12/2/1983 16:00:00,0.09
12/9/1983 16:00:00,0.1
12/16/1983 16:00:00,0.11
12/23/1983 16:00:00,0.11
12/30/1983 16:00:00,0.11
1/6/1984 16:00:00,0.12
1/13/1984 16:00:00,0.12
1/20/1984 16:00:00,0.13
1/27/1984 16:00:00,0.12
2/3/1984 16:00:00,0.11
2/10/1984 16:00:00,0.11
2/17/1984 16:00:00,0.11
2/24/1984 16:00:00,0.12
3/2/1984 16:00:00,0.12
3/9/1984 16:00:00,0.12
3/16/1984 16:00:00,0.12
3/23/1984 16:00:00,0.11
3/30/1984 16:00:00,0.11
4/6/1984 16:00:00,0.1
4/13/1984 16:00:00,0.11
4/19/1984 16:00:00,0.13
4/27/1984 16:00:00,0.13
5/4/1984 16:00:00,0.13
5/11/1984 16:00:00,0.14
5/18/1984 16:00:00,0.13
5/25/1984 16:00:00,0.13
6/1/1984 16:00:00,0.14
6/8/1984 16:00:00,0.13
6/15/1984 16:00:00,0.13
6/22/1984 16:00:00,0.13
6/29/1984 16:00:00,0.12
7/6/1984 16:00:00,0.11
7/13/1984 16:00:00,0.12
7/20/1984 16:00:00,0.11
7/27/1984 16:00:00,0.12
8/3/1984 16:00:00,0.12
8/10/1984 16:00:00,0.13
8/17/1984 16:00:00,0.12
8/24/1984 16:00:00,0.13
8/31/1984 16:00:00,0.12
9/7/1984 16:00:00,0.12
9/14/1984 16:00:00,0.12
9/21/1984 16:00:00,0.12
9/28/1984 16:00:00,0.11
10/5/1984 16:00:00,0.11
10/12/1984 16:00:00,0.1
10/19/1984 16:00:00,0.11
10/26/1984 16:00:00,0.11
11/2/1984 16:00:00,0.11
11/9/1984 16:00:00,0.1
11/16/1984 16:00:00,0.1
11/23/1984 16:00:00,0.11
11/30/1984 16:00:00,0.11
12/7/1984 16:00:00,0.12
12/14/1984 16:00:00,0.12
12/21/1984 16:00:00,0.12
12/28/1984 16:00:00,0.13
1/4/1985 16:00:00,0.13
1/11/1985 16:00:00,0.13
1/18/1985 16:00:00,0.13
1/25/1985 16:00:00,0.13
2/1/1985 16:00:00,0.13
2/8/1985 16:00:00,0.13
2/15/1985 16:00:00,0.13
2/22/1985 16:00:00,0.12
3/1/1985 16:00:00,0.11
3/8/1985 16:00:00,0.1
3/15/1985 16:00:00,0.1
3/22/1985 16:00:00,0.1
3/29/1985 16:00:00,0.1
4/4/1985 16:00:00,0.09
4/12/1985 16:00:00,0.09
4/19/1985 16:00:00,0.1
4/26/1985 16:00:00,0.1
5/3/1985 16:00:00,0.09
5/10/1985 16:00:00,0.09
5/17/1985 16:00:00,0.1
5/24/1985 16:00:00,0.08
5/31/1985 16:00:00,0.08
6/7/1985 16:00:00,0.07
6/14/1985 16:00:00,0.07
6/21/1985 16:00:00,0.07
6/28/1985 16:00:00,0.08
7/5/1985 16:00:00,0.08
7/12/1985 16:00:00,0.08
7/19/1985 16:00:00,0.08
7/26/1985 16:00:00,0.07
8/2/1985 16:00:00,0.07
8/9/1985 16:00:00,0.07
8/16/1985 16:00:00,0.07
8/23/1985 16:00:00,0.07
8/30/1985 16:00:00,0.07
9/6/1985 16:00:00,0.07
9/13/1985 16:00:00,0.07
9/20/1985 16:00:00,0.07
9/27/1985 16:00:00,0.07
10/4/1985 16:00:00,0.07
10/11/1985 16:00:00,0.07
10/18/1985 16:00:00,0.08
10/25/1985 16:00:00,0.08
11/1/1985 16:00:00,0.08
11/8/1985 16:00:00,0.09
11/15/1985 16:00:00,0.09
11/22/1985 16:00:00,0.08
11/29/1985 16:00:00,0.09
12/6/1985 16:00:00,0.09
12/13/1985 16:00:00,0.09
12/20/1985 16:00:00,0.1
12/27/1985 16:00:00,0.1
1/3/1986 16:00:00,0.1
1/10/1986 16:00:00,0.1
1/17/1986 16:00:00,0.11
1/24/1986 16:00:00,0.1
1/31/1986 16:00:00,0.1
2/7/1986 16:00:00,0.11
2/14/1986 16:00:00,0.11
2/21/1986 16:00:00,0.11
2/28/1986 16:00:00,0.11
3/7/1986 16:00:00,0.11
3/14/1986 16:00:00,0.12
3/21/1986 16:00:00,0.12
3/27/1986 16:00:00,0.13
4/4/1986 16:00:00,0.12
4/11/1986 16:00:00,0.12
4/18/1986 16:00:00,0.13
4/25/1986 16:00:00,0.14
5/2/1986 16:00:00,0.14
5/9/1986 16:00:00,0.15
5/16/1986 16:00:00,0.16
5/23/1986 16:00:00,0.17
5/30/1986 16:00:00,0.17
6/6/1986 16:00:00,0.17
6/13/1986 16:00:00,0.16
6/20/1986 16:00:00,0.16
6/27/1986 16:00:00,0.16
7/3/1986 16:00:00,0.17
